UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
UEI-IMD-FL-2005-0077,2005-07-01,2005-07-01,1.0,heavy rains,,Kozhikode,Kerala,,,,,1.0,,,,1 child died in Atholi,(i)Landslide reported in Kakkayam (ii)Widespread damaget to property reported in Atholi (iii)Road transportation disrupted,IMD,,561,32
UEI-IMD-FL-2005-0078,2005-07-01,2005-07-01,1.0,heavy rains,,Kollam,Kerala,,,,,5.0,,,,5 fishermen missing,6 fishing boats capsized,IMD,,559,32
UEI-IMD-FL-2005-0079,2005-07-01,2005-07-01,1.0,heavy rains,,,Kerala,,,,,,,,,,"(i)236 houses partially,12 houses completely damaged (ii)Widespread damage to agriculture reported",IMD,,,32
UEI-IMD-FL-2005-0080,2005-07-07,2005-07-07,1.0,heavy rains,,"Kozhikode, Malappuram,Wayanad",Kerala,,,,,,1.0,,,1 woman missing in Kuttayadi,"(i)Landslide reported (ii)46 houses completely,50 houses partially damaged (iii)In Areekode, 3 houses completely damaged (iv) 175 families were shifted to relief camp in Thariyode",IMD,,"561, 562, 567",32
UEI-IMD-FL-2005-0081,2005-07-20,2005-07-20,1.0,heavy rains,,Kozhikode,Kerala,,,,,,,,,,(i)Landslide reported in Karoom (ii)Extensive damage to agriculture reported,IMD,,561,32
UEI-IMD-FL-2005-0082,2005-07-22,2005-07-28,7.0,heavy rains,,"Alappuzha, Ernakulam, Idukki, Kollam, Kottayam, Thiruvananthapuram, Thrissur,Wayanad",Kerala,,,,,28.0,14.0,,,"28 persons including 4 women,3 children died,14 injured","(i)Landslide reported (ii)595 houses completely,3062 houses partially damaged (iii)Hundreds of acres of farm dield flooded (iv)Widespread damage to agriculture reported (v)3 bridges washed away in Ambalavayal",IMD,,"554, 555, 556, 559, 560, 565, 566, 567",32
UEI-IMD-FL-2005-0083,2005-09-07,2005-09-07,1.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,,,,,1 house completely damaged in Kilimanoor,IMD,,565,32
UEI-IMD-FL-2005-0084,2005-10-02,2005-10-02,1.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,Water entered in 13 houses in Sultan Battery,IMD,,567,32
UEI-IMD-FL-2005-0085,2005-10-07,2005-10-07,1.0,heavy rains,,Wayanad,Kerala,,,,,,,,,,"Widespread damage to plantain,other agriculture in Pusppali reported",IMD,,567,32
UEI-IMD-FL-2005-0086,2005-10-08,2005-10-14,7.0,heavy rains,,"Kollam, Thiruvananthapuram,Wayanad",Kerala,,,,,1.0,,,,1 fisherman died in Ochira,"(i) 1 bridge collapsed in Sultanbattery (ii) 2 houses completely damaged,3 partially damaged",IMD,,"559, 565, 567",32
UEI-IMD-FL-2005-0087,2005-10-22,2005-10-23,2.0,heavy rains,,"Kannur,Wayanad",Kerala,,,,,,,,,,"(i)Extensive damage to agriculture reported (ii)1 house completely,8 houses partially damaged",IMD,,"557, 567",32
UEI-IMD-FL-2005-0088,2005-11-08,2005-11-14,7.0,heavy rains,,Ernakulam ant Thiruvananthapuram,Kerala,,,,,,,,,,(i)Ship berth in Mattancherry-Warf collapsed (ii)Around 50 houses flooded in Chirayankil,IMD,,,32
UEI-IMD-FL-2005-0089,2005-12-08,2005-12-15,8.0,heavy rains,,Thiruvananthapuram,Kerala,,,,,,1.0,,,An old woman injured,"(i)63 houses completely,30 houses partially damaged (ii)Extensive damage to agriculture reported (iii) 2100 families shifted to relief camps",IMD,,565,32
UEI-IMD-FL-2006-0046,2006-03-05,2006-03-05,1.0,heavy rains,,Wayanad,Kerala,,,,,,18.0,,,"In Sultanbattery, 18 per sons injured due to bus collapsed.",,IMD,,567,32
