UEI,Start Date,End Date,Duration(Days),Main Cause,District
UEI-IMD-FL-1993-0022,1993-06-01,1993-06-01,1.0,heavy rains,Alappuzha
UEI-IMD-FL-1993-0022,1993-06-01,1993-06-01,1.0,heavy rains,Ernakulam
UEI-IMD-FL-1993-0022,1993-06-01,1993-06-01,1.0,heavy rains,Idukki
UEI-IMD-FL-1993-0022,1993-06-01,1993-06-01,1.0,heavy rains,Kollam
UEI-IMD-FL-1993-0022,1993-06-01,1993-06-01,1.0,heavy rains,Pathanamthitta
UEI-IMD-FL-1993-0022,1993-06-01,1993-06-01,1.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1993-0022,1993-06-01,1993-06-01,1.0,heavy rains,Thrissur
UEI-IMD-FL-1993-0023,1993-06-13,1993-06-13,1.0,heavy rains,Alappuzha
UEI-IMD-FL-1993-0024,1993-06-18,1993-06-18,1.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1993-0025,1993-07-03,1993-07-03,1.0,heavy rains,Kottayam
UEI-IMD-FL-1993-0026,1993-07-18,1993-07-18,1.0,heavy rains,Kollam
UEI-IMD-FL-1993-0027,1993-07-22,1993-07-22,1.0,heavy rains,Kollam
UEI-IMD-FL-1993-0028,1993-07-26,1993-07-26,1.0,heavy rains,Kannur
UEI-IMD-FL-1993-0028,1993-07-26,1993-07-26,1.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1993-0029,1993-07-27,1993-07-27,1.0,heavy rains,Malappuram
UEI-IMD-FL-1993-0030,1993-07-28,1993-07-28,1.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1993-0031,1993-10-06,1993-10-06,1.0,heavy rains,Kottayam
UEI-IMD-FL-1993-0032,1993-10-08,1993-10-08,1.0,heavy rains,Malappuram
UEI-IMD-FL-1993-0033,1993-10-09,1993-10-09,1.0,heavy rains,Palakkad
UEI-IMD-FL-1993-0034,1993-10-11,1993-10-11,1.0,heavy rains,Alappuzha
UEI-IMD-FL-1993-0035,1993-11-10,1993-11-11,2.0,heavy rains,Idukki
UEI-IMD-FL-1993-0035,1993-11-10,1993-11-11,2.0,heavy rains,Kollam
UEI-IMD-FL-1993-0035,1993-11-10,1993-11-11,2.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1994-0038,1994-05-28,1994-05-28,1.0,heavy rains,Palakkad
UEI-IMD-FL-1994-0039,1994-06-01,1994-06-14,14.0,severe flood,Alappuzha
UEI-IMD-FL-1994-0039,1994-06-01,1994-06-14,14.0,severe flood,Ernakulam
